;Height;Floors;End Use;Lower End Use;Upper End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Section;Height Source;Floor Height Source;EndUse Source;Envelope Source;Cooling System Source;Heating System Source;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
0018300015;10.5;3;Residential;Residential;Residential;1961-1970;0018300015;Building 0018300015;1.0;1.0;IdealLoad;IdealLoad;280600000183;;Default;ISTAT;ISTAT;Default;Default;True;2997.580810546875;856.45166015625;11;1184.7155648266944;280.5750463173818;72.6017849500731;-24.949945614466966;0.0;443385.02446289064;0.0;0.0;33098954.591023415;0.0;0.0;400476.7962890625;0.0;0.0;27373748.487121135;0.0;0.0;443385.02446289064;0.0;0.0;21312354.50921763;0.0;0.0;429082.28173828125;0.0;0.0;7082843.1226623785;0.0;0.0;443385.02446289064;0.0;0.0;1511098.1613734588;0.0;0.0;429082.28173828125;0.0;0.0;1462353.0593936697;-3844081.605825747;0.0;443385.02446289064;0.0;0.0;1511098.1613734588;-5307066.959689564;0.0;443385.02446289064;0.0;0.0;1511098.1613734588;-4248507.503529926;0.0;429082.28173828125;0.0;0.0;1462353.0593936697;-2855965.7423365354;0.0;443385.02446289064;0.0;0.0;8227615.954749664;0.0;0.0;429082.28173828125;0.0;0.0;20747038.831912614;0.0;0.0;443385.02446289064;0.0;0.0;30608120.80486859;0.0;0.0;5220501.094482422;0.0;0.0;155908676.90446314;-16255621.811381772
0018300016;11.95;3;Residential;Residential;Residential;1961-1970;0018300016;Building 0018300016;1.0;1.0;IdealLoad;IdealLoad;280600000183;;Default;ISTAT;ISTAT;Default;Default;True;3408.848364257812;855.77783203125;11;1372.3542834386672;414.47225025258865;86.47893204711424;-29.305446624113802;0.0;443036.18364257814;0.0;0.0;38791343.971691675;0.0;0.0;400161.7142578125;0.0;0.0;32011480.086080484;0.0;0.0;443036.18364257814;0.0;0.0;24444764.40199391;0.0;0.0;428744.69384765625;0.0;0.0;7818933.031557466;0.0;0.0;443036.18364257814;0.0;0.0;1510273.3527066605;0.0;0.0;428744.69384765625;0.0;0.0;1461554.8574580585;-4530505.9960350115;0.0;443036.18364257814;0.0;0.0;1510273.3527066605;-7443988.612680638;0.0;443036.18364257814;0.0;0.0;1510273.3527066605;-5494166.292515542;0.0;428744.69384765625;0.0;0.0;1461554.8574580585;-2911488.300723857;0.0;443036.18364257814;0.0;0.0;9244619.809516078;0.0;0.0;428744.69384765625;0.0;0.0;24198054.783611964;0.0;0.0;443036.18364257814;0.0;0.0;35842214.017257944;0.0;0.0;5216393.775146484;0.0;0.0;179805339.8747456;-20380149.20195505
0018300017;10.25;3;Residential;Residential;Residential;1961-1970;0018300017;Building 0018300017;1.0;1.0;IdealLoad;IdealLoad;280600000183;;Default;ISTAT;ISTAT;Default;Default;True;3983.5288696289062;1165.910888671875;15;1602.6719881566419;374.7613878169064;97.46265863271454;-32.72305548990264;0.0;603592.0670654296;0.0;0.0;44629131.60888184;0.0;0.0;545179.9315429687;0.0;0.0;37097865.437588744;0.0;0.0;603592.0670654296;0.0;0.0;28836992.699460242;0.0;0.0;584121.3552246094;0.0;0.0;9553449.582473263;0.0;0.0;603592.0670654296;0.0;0.0;2058167.523233579;0.0;0.0;584121.3552246094;0.0;0.0;1991775.0224841086;-5162464.596835369;0.0;603592.0670654296;0.0;0.0;2058167.523233579;-7495757.262768121;0.0;603592.0670654296;0.0;0.0;2058167.523233579;-5687113.35858151;0.0;584121.3552246094;0.0;0.0;1991775.0224841086;-3882718.423521569;0.0;603592.0670654296;0.0;0.0;11358306.316212246;0.0;0.0;584121.3552246094;0.0;0.0;28054825.42832192;0.0;0.0;603592.0670654296;0.0;0.0;41228247.49601263;0.0;0.0;7106809.821899414;0.0;0.0;210916871.18361983;-22228053.64170657
0101000004;6.75;2;Residential;Residential;Residential;1961-1970;0101000004;Building 0101000004;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;1281.7007446289062;379.76318359375;5;852.288127664711;232.35452358713707;45.931725704259286;-13.272192117499566;0.0;196603.40014648438;0.0;0.0;19785219.103170875;0.0;0.0;177577.2646484375;0.0;0.0;16346728.90366389;0.0;0.0;196603.40014648438;0.0;0.0;12349385.762834636;0.0;0.0;190261.35498046875;0.0;0.0;3859604.255128061;0.0;0.0;196603.40014648438;0.0;0.0;675193.7683923066;0.0;0.0;190261.35498046875;0.0;0.0;653413.3242506194;-2017485.5916705653;0.0;196603.40014648438;0.0;0.0;675193.7683923066;-3753634.1906845365;0.0;196603.40014648438;0.0;0.0;675193.7683923066;-2536065.8411456947;0.0;190261.35498046875;0.0;0.0;653413.3242506194;-1074478.07340968;0.0;196603.40014648438;0.0;0.0;4627429.333778056;0.0;0.0;190261.35498046875;0.0;0.0;12304160.519729199;0.0;0.0;196603.40014648438;0.0;0.0;18262277.51357496;0.0;0.0;2314846.485595703;0.0;0.0;90867213.34555784;-9381663.696910476
0101000005;6.8;2;Residential;Residential;Residential;1961-1970;0101000005;Building 0101000005;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;530.1310546875;155.9208984375;2;433.08052066138947;154.54007222522182;23.51542805787737;-6.687986936209677;0.0;80720.24912109374;0.0;0.0;9752973.748016775;0.0;0.0;72908.612109375;0.0;0.0;8001415.143399261;0.0;0.0;80720.24912109374;0.0;0.0;5909466.696429125;0.0;0.0;78116.3701171875;0.0;0.0;1787694.4181879759;0.0;0.0;80720.24912109374;0.0;0.0;274992.8888610901;0.0;0.0;78116.3701171875;0.0;0.0;266122.1505107324;-991434.4846989597;0.0;80720.24912109374;0.0;0.0;274992.8888610901;-2027838.5346146065;0.0;80720.24912109374;0.0;0.0;274992.8888610901;-1389810.6376425885;0.0;78116.3701171875;0.0;0.0;266122.1505107324;-427438.3978349567;0.0;80720.24912109374;0.0;0.0;2130672.9889603904;0.0;0.0;78116.3701171875;0.0;0.0;6006473.472621086;0.0;0.0;80720.24912109374;0.0;0.0;9005967.551359626;0.0;0.0;950415.8364257812;0.0;0.0;43951886.98657897;-4836522.0547911115
0101000006;5.475;2;Residential;Residential;Residential;1961-1970;0101000006;Building 0101000006;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;1446.307598876953;528.33154296875;7;1127.5465404188244;281.8836723071953;57.85904523757025;-16.567849245153692;0.0;273517.2397949219;0.0;0.0;24837872.167717636;0.0;0.0;247047.82949218748;0.0;0.0;20543880.12329259;0.0;0.0;273517.2397949219;0.0;0.0;15528340.169910077;0.0;0.0;264694.10302734375;0.0;0.0;4899451.407713286;0.0;0.0;273517.2397949219;0.0;0.0;941186.6797862576;0.0;0.0;264694.10302734375;0.0;0.0;910825.8191479912;-2442578.787995024;0.0;273517.2397949219;0.0;0.0;941186.6797862576;-4712702.521062172;0.0;273517.2397949219;0.0;0.0;941186.6797862576;-3042075.035984774;0.0;264694.10302734375;0.0;0.0;910825.8191479912;-1213261.7709274795;0.0;273517.2397949219;0.0;0.0;5901780.06533225;0.0;0.0;264694.10302734375;0.0;0.0;15470321.87441895;0.0;0.0;273517.2397949219;0.0;0.0;22918847.121553823;0.0;0.0;3220444.920166016;0.0;0.0;114745704.60759337;-11410618.11596945
0101000007;5.367;2;Residential;Residential;Residential;1971-1980;0101000007;Building 0101000007;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;Default;Default;Default;True;1231.1158989257813;458.7724609375;6;1024.9900131023362;209.47497405826618;50.37941124043443;-14.455635058405855;0.0;237506.50302734374;0.0;0.0;21537282.953066938;0.0;0.0;214522.00273437498;0.0;0.0;17793241.00078198;0.0;0.0;237506.50302734374;0.0;0.0;13526598.854772229;0.0;0.0;229845.0029296875;0.0;0.0;4295426.822799631;0.0;0.0;237506.50302734374;0.0;0.0;813974.0454433468;0.0;0.0;229845.0029296875;0.0;0.0;787716.8181709809;-1998395.3450735263;0.0;237506.50302734374;0.0;0.0;813974.0454433468;-3750057.8097717343;0.0;237506.50302734374;0.0;0.0;813974.0454433468;-2461365.3317114674;0.0;229845.0029296875;0.0;0.0;787716.8181709809;-1041781.1566018898;0.0;237506.50302734374;0.0;0.0;5110987.326720161;0.0;0.0;229845.0029296875;0.0;0.0;13401179.651718669;0.0;0.0;237506.50302734374;0.0;0.0;19866801.197637968;0.0;0.0;2796447.5356445312;0.0;0.0;99548873.58016959;-9251599.643158616
0101000008;6.3;2;Residential;Residential;Residential;1961-1970;0101000008;Building 0101000008;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;Default;ISTAT;Default;Default;True;1325.3809570312499;420.755859375;5;935.9495281381526;251.50601368733714;49.63714641792217;-14.265968017648348;0.0;217825.30839843748;0.0;0.0;21257671.927510526;0.0;0.0;196745.43984375;0.0;0.0;17532833.893042903;0.0;0.0;217825.30839843748;0.0;0.0;13244674.91156726;0.0;0.0;210798.685546875;0.0;0.0;4156427.3850345337;0.0;0.0;217825.30839843748;0.0;0.0;725371.4220182025;0.0;0.0;210798.685546875;0.0;0.0;701972.3438885831;-2071819.3488480286;0.0;217825.30839843748;0.0;0.0;725371.4220182025;-3831415.25464653;0.0;217825.30839843748;0.0;0.0;725371.4220182025;-2613573.733798195;0.0;210798.685546875;0.0;0.0;701972.3438885831;-1107171.9616339633;0.0;217825.30839843748;0.0;0.0;4919081.35395868;0.0;0.0;210798.685546875;0.0;0.0;13198011.296987386;0.0;0.0;217825.30839843748;0.0;0.0;19619637.744726665;0.0;0.0;2564717.3408203125;0.0;0.0;97508397.46665972;-9623980.298926717
0101000009;11.4;3;Residential;Residential;Residential;1961-1970;0101000009;Building 0101000009;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;Default;ISTAT;Default;Default;True;2694.449560546875;709.065673828125;9;1326.9688967953591;478.47049181988564;81.13052646788609;-26.131354717906436;0.0;367083.2993408203;0.0;0.0;35397164.533956274;0.0;0.0;331559.10908203124;0.0;0.0;29139213.58941649;0.0;0.0;367083.2993408203;0.0;0.0;21913485.35687033;0.0;0.0;355241.9025878906;0.0;0.0;6863160.5283435965;0.0;0.0;367083.2993408203;0.0;0.0;1246552.5501147637;0.0;0.0;355241.9025878906;0.0;0.0;1206341.1775304163;-3885821.1028757235;0.0;367083.2993408203;0.0;0.0;1246552.5501147637;-7083759.242719069;0.0;367083.2993408203;0.0;0.0;1246552.5501147637;-5083305.628167269;0.0;355241.9025878906;0.0;0.0;1206341.1775304163;-2165291.200603401;0.0;367083.2993408203;0.0;0.0;8172651.076740153;0.0;0.0;355241.9025878906;0.0;0.0;21946471.262418613;0.0;0.0;367083.2993408203;0.0;0.0;32702755.60546624;0.0;0.0;4322109.814819336;0.0;0.0;162287241.95861682;-18218177.17436546
0101000010;7.973;2;Residential;Residential;Residential;Before 1930;0101000010;Building 0101000010;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;21373.45709353906;5361.459198178618;70;17517.787908218797;2185.7460401412136;818.4769957678592;-179.7848170285891;0.0;2775627.4268970704;0.0;0.0;357960967.5935156;0.0;0.0;2507018.321068322;0.0;0.0;296771414.08786273;0.0;0.0;2775627.4268970704;0.0;0.0;227918833.0775112;0.0;0.0;2686091.0582874874;0.0;0.0;70899137.38314672;0.0;0.0;2775627.4268970704;0.0;0.0;9507519.762048023;0.0;0.0;2686091.0582874874;0.0;0.0;9200825.576175505;-33466410.38400068;0.0;2775627.4268970704;0.0;0.0;9507519.762048023;-56493639.109272495;0.0;2775627.4268970704;0.0;0.0;9507519.762048023;-38656789.88084708;0.0;2686091.0582874874;0.0;0.0;9200825.576175505;-20779659.404355116;0.0;2775627.4268970704;0.0;0.0;84063449.73430097;0.0;0.0;2686091.0582874874;0.0;0.0;223675473.2301783;0.0;0.0;2775627.4268970704;0.0;0.0;330202519.97567976;0.0;0.0;32680774.54249776;0.0;0.0;1638416005.5206904;-149396498.77847537
0101000011;8.2;2;Residential;Residential;Residential;1961-1970;0101000011;Building 0101000011;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;1542.0444335937498;376.1083984375;5;976.2848605601727;324.14280555116915;55.11426942856652;-15.95214568244774;0.0;194711.31787109375;0.0;0.0;23504450.928021625;0.0;0.0;175868.287109375;0.0;0.0;19389548.135392386;0.0;0.0;194711.31787109375;0.0;0.0;14491699.528153524;0.0;0.0;188430.3076171875;0.0;0.0;4414304.2081590975;0.0;0.0;194711.31787109375;0.0;0.0;670720.0779060842;0.0;0.0;188430.3076171875;0.0;0.0;649083.9463607267;-2538517.334048319;0.0;194711.31787109375;0.0;0.0;670720.0779060842;-4828580.552986852;0.0;194711.31787109375;0.0;0.0;670720.0779060842;-3308577.814000542;0.0;188430.3076171875;0.0;0.0;649083.9463607267;-1267082.472090186;0.0;194711.31787109375;0.0;0.0;5347513.607186676;0.0;0.0;188430.3076171875;0.0;0.0;14565460.582635896;0.0;0.0;194711.31787109375;0.0;0.0;21701520.281810947;0.0;0.0;2292568.7426757812;0.0;0.0;106724825.39779985;-11942758.1731259
0101000012;5.75;2;Residential;Residential;Residential;1971-1980;0101000012;Building 0101000012;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;Default;Default;Default;Default;True;529.7285766601562;184.25341796875;2;460.76827310317026;110.50411817021255;22.980757521886247;-6.580367609988193;0.0;95387.99448242187;0.0;0.0;9745952.427437643;0.0;0.0;86156.8982421875;0.0;0.0;8057419.371526135;0.0;0.0;95387.99448242187;0.0;0.0;6024074.794949443;0.0;0.0;92310.96240234375;0.0;0.0;1860887.6421223232;0.0;0.0;95387.99448242187;0.0;0.0;309673.70255020907;0.0;0.0;92310.96240234375;0.0;0.0;299684.22827439586;-923293.7017759886;0.0;95387.99448242187;0.0;0.0;309673.70255020907;-1842448.8928977086;0.0;95387.99448242187;0.0;0.0;309673.70255020907;-1196330.3926945997;0.0;92310.96240234375;0.0;0.0;299684.22827439586;-433732.279370604;0.0;95387.99448242187;0.0;0.0;2267922.8236422827;0.0;0.0;92310.96240234375;0.0;0.0;6052429.698256409;0.0;0.0;95387.99448242187;0.0;0.0;9006373.590602485;0.0;0.0;1123116.7092285156;0.0;0.0;44543449.91273615;-4395805.266738901
0101000013;7.567;2;Residential;Residential;Residential;1961-1970;0101000013;Building 0101000013;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;1063.84334765625;281.1796875;4;708.955173222375;227.45239613142473;39.29860723446724;-11.30102141920091;0.0;145566.72421875;0.0;0.0;16826794.534071367;0.0;0.0;131479.62187499998;0.0;0.0;13834782.799813105;0.0;0.0;145566.72421875;0.0;0.0;10316864.0525094;0.0;0.0;140871.0234375;0.0;0.0;3173763.3304786775;0.0;0.0;145566.72421875;0.0;0.0;512453.39725820924;0.0;0.0;140871.0234375;0.0;0.0;495922.64250794443;-1726260.1034578017;0.0;145566.72421875;0.0;0.0;512453.39725820924;-3294862.963308874;0.0;145566.72421875;0.0;0.0;512453.39725820924;-2287211.5711505827;0.0;140871.0234375;0.0;0.0;495922.64250794443;-869940.717800858;0.0;145566.72421875;0.0;0.0;3823613.433653582;0.0;0.0;140871.0234375;0.0;0.0;10452231.454193061;0.0;0.0;145566.72421875;0.0;0.0;15538479.07772466;0.0;0.0;1713930.7851562498;0.0;0.0;76495734.15923436;-8178275.355718117
0101000014;7.4;2;Residential;Residential;Residential;1961-1970;0101000014;Building 0101000014;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;902.55791015625;243.9345703125;3;624.2598726491194;203.87663442498527;34.43575239787715;-9.892269110791606;0.0;126284.92705078125;0.0;0.0;14602808.806976026;0.0;0.0;114063.805078125;0.0;0.0;12030102.329678003;0.0;0.0;126284.92705078125;0.0;0.0;8966435.315495046;0.0;0.0;122211.2197265625;0.0;0.0;2733462.789560383;0.0;0.0;126284.92705078125;0.0;0.0;424795.11998780526;0.0;0.0;122211.2197265625;0.0;0.0;411092.0516011019;-1532263.1820515043;0.0;126284.92705078125;0.0;0.0;424795.11998780526;-2972618.2411434627;0.0;126284.92705078125;0.0;0.0;424795.11998780526;-2028099.23084342;0.0;122211.2197265625;0.0;0.0;411092.0516011019;-733084.4464564746;0.0;126284.92705078125;0.0;0.0;3309403.9234304656;0.0;0.0;122211.2197265625;0.0;0.0;9035694.314212138;0.0;0.0;126284.92705078125;0.0;0.0;13485624.127456645;0.0;0.0;1486903.1733398438;0.0;0.0;66260101.06997432;-7266065.100494861
0101000015;10.0;3;Residential;Residential;Residential;1961-1970;0101000015;Building 0101000015;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;2029.87548828125;608.962646484375;8;1080.5019572596095;368.86611024435996;64.02009126288942;-20.72405312294875;0.0;315259.96208496095;0.0;0.0;27950180.62987444;0.0;0.0;284750.9334960937;0.0;0.0;23052599.076123256;0.0;0.0;315259.96208496095;0.0;0.0;17338457.52659776;0.0;0.0;305090.2858886719;0.0;0.0;5475678.505558482;0.0;0.0;315259.96208496095;0.0;0.0;1081952.1756682915;0.0;0.0;305090.2858886719;0.0;0.0;1047050.4925822174;-3041357.1577640357;0.0;315259.96208496095;0.0;0.0;1081952.1756682915;-5662213.979105139;0.0;315259.96208496095;0.0;0.0;1081952.1756682915;-3942202.4821085613;0.0;305090.2858886719;0.0;0.0;1047050.4925822174;-1620368.4827629786;0.0;315259.96208496095;0.0;0.0;6565608.056220393;0.0;0.0;305090.2858886719;0.0;0.0;17369529.015374444;0.0;0.0;315259.96208496095;0.0;0.0;25823215.362929903;0.0;0.0;3711931.8116455083;0.0;0.0;128915225.68484801;-14266142.101740716
0101000016;9.6;3;Residential;Residential;Residential;1971-1980;0101000016;Building 0101000016;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;Default;Default;Default;True;1277.3999999999999;399.1875;5;795.4821029457515;229.40938735085533;43.95397343463973;-14.169179571252515;0.0;206659.36875;0.0;0.0;18964728.90552098;0.0;0.0;186660.07499999998;0.0;0.0;15648793.631541507;0.0;0.0;206659.36875;0.0;0.0;11767803.339367826;0.0;0.0;199992.9375;0.0;0.0;3694188.052109572;0.0;0.0;206659.36875;0.0;0.0;698970.3724313733;0.0;0.0;199992.9375;0.0;0.0;676422.9410626194;-1942427.0125607771;0.0;206659.36875;0.0;0.0;698970.3724313733;-3699526.412731317;0.0;206659.36875;0.0;0.0;698970.3724313733;-2551447.299906771;0.0;199992.9375;0.0;0.0;676422.9410626194;-1008529.4871281323;0.0;206659.36875;0.0;0.0;4447916.8336345;0.0;0.0;199992.9375;0.0;0.0;11767231.671834571;0.0;0.0;206659.36875;0.0;0.0;17510292.90351625;0.0;0.0;2433247.4062499995;0.0;0.0;87250712.33694457;-9201930.212326998
0101000017;8.85;3;Residential;Residential;Residential;1961-1970;0101000017;Building 0101000017;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;3038.682934570312;1030.06201171875;13;1670.5838192694478;512.2115677104188;96.26320786493159;-31.2368435329627;0.0;533263.1034667969;0.0;0.0;42478924.630481824;0.0;0.0;481656.9966796875;0.0;0.0;35153730.68548851;0.0;0.0;533263.1034667969;0.0;0.0;26470733.495990664;0.0;0.0;516061.06787109375;0.0;0.0;8503494.808245832;0.0;0.0;533263.1034667969;0.0;0.0;1807744.070800329;0.0;0.0;516061.06787109375;0.0;0.0;1749429.7459358023;-4452159.705329597;0.0;533263.1034667969;0.0;0.0;1807744.070800329;-8099018.389227681;0.0;533263.1034667969;0.0;0.0;1807744.070800329;-5572417.8253366025;0.0;516061.06787109375;0.0;0.0;1749429.7459358023;-2492158.663312907;0.0;533263.1034667969;0.0;0.0;10257035.066145739;0.0;0.0;516061.06787109375;0.0;0.0;26552247.951142877;0.0;0.0;533263.1034667969;0.0;0.0;39236883.41968922;0.0;0.0;6278742.992431641;0.0;0.0;197575141.76145726;-20615754.583206788
0101000018;10.4;3;Residential;Residential;Residential;1961-1970;0101000018;Building 0101000018;1.0;1.0;IdealLoad;IdealLoad;280600001010;;Default;ISTAT;ISTAT;Default;Default;True;1921.1664062500001;554.1826171875;7;1015.2131163883219;358.3791268458285;60.651467957193226;-19.493002002452723;0.0;286900.3409179688;0.0;0.0;26413530.895091888;0.0;0.0;259135.791796875;0.0;0.0;21684206.55889307;0.0;0.0;286900.3409179688;0.0;0.0;16274728.03748228;0.0;0.0;277645.4912109375;0.0;0.0;5122326.028905149;0.0;0.0;286900.3409179688;0.0;0.0;972830.045906775;0.0;0.0;277645.4912109375;0.0;0.0;941448.4315226855;-2825309.4135664017;0.0;286900.3409179688;0.0;0.0;972830.045906775;-5237950.735253851;0.0;286900.3409179688;0.0;0.0;972830.045906775;-3730986.004078339;0.0;277645.4912109375;0.0;0.0;941448.4315226855;-1523332.8916183978;0.0;286900.3409179688;0.0;0.0;6088746.129172605;0.0;0.0;277645.4912109375;0.0;0.0;16381421.518334521;0.0;0.0;286900.3409179688;0.0;0.0;24416602.755000144;0.0;0.0;3378020.1430664062;0.0;0.0;121182948.92364536;-13317579.044516988
0018300018;2.5;1;Residential;Residential;Residential;1961-1970;0018300018;Building 0018300018;1.0;1.0;IdealLoad;IdealLoad;280600000183;;Default;ISTAT;ISTAT;Default;Default;True;210.9185791015625;84.367431640625;1;315.8394975906242;58.540798589211946;13.925014451691029;-3.0805401930867373;0.0;43677.019360351565;0.0;0.0;5758146.599280696;0.0;0.0;39450.21103515625;0.0;0.0;4739327.696193581;0.0;0.0;43677.019360351565;0.0;0.0;3561622.0025655394;0.0;0.0;42268.083251953125;0.0;0.0;1089866.3061422016;0.0;0.0;43677.019360351565;0.0;0.0;145339.00017068762;0.0;0.0;42268.083251953125;0.0;0.0;140650.6453264719;-452105.16945698805;0.0;43677.019360351565;0.0;0.0;145339.00017068762;-921586.7184005012;0.0;43677.019360351565;0.0;0.0;145339.00017068762;-572718.2981150685;0.0;42268.083251953125;0.0;0.0;140650.6453264719;-188593.99254520584;0.0;43677.019360351565;0.0;0.0;1292672.213225091;0.0;0.0;42268.083251953125;0.0;0.0;3576480.507668882;0.0;0.0;43677.019360351565;0.0;0.0;5317441.458780713;0.0;0.0;514261.6795654297;0.0;0.0;26052875.075021714;-2135004.1785177635
0018300019;14.667;4;Residential;Residential;Residential;1961-1970;0018300019;Building 0018300019;1.0;1.0;IdealLoad;IdealLoad;280600000183;;Default;Default;ISTAT;Default;Default;True;5757.459949951171;1570.1806640625;20;1909.1646689427303;585.0552494656664;129.04098026453266;-47.219432796293034;0.0;812882.5297851562;0.0;0.0;59039592.730743684;0.0;0.0;734216.478515625;0.0;0.0;48701009.006251656;0.0;0.0;812882.5297851562;0.0;0.0;37564407.734259695;0.0;0.0;786660.5126953125;0.0;0.0;12396660.360847127;0.0;0.0;812882.5297851562;0.0;0.0;2763358.925381164;0.0;0.0;786660.5126953125;0.0;0.0;2674218.3148849974;-7233148.440740519;0.0;812882.5297851562;0.0;0.0;2763358.925381164;-10801635.941318028;0.0;812882.5297851562;0.0;0.0;2763358.925381164;-8379964.507484694;0.0;786660.5126953125;0.0;0.0;2674218.3148849974;-5019280.785142643;0.0;812882.5297851562;0.0;0.0;14451424.767186584;0.0;0.0;786660.5126953125;0.0;0.0;36904128.70191475;0.0;0.0;812882.5297851562;0.0;0.0;54585712.689804815;0.0;0.0;9571036.237792969;0.0;0.0;277281449.3969218;-31434029.67468588
0018300020;14.3;4;Residential;Residential;Residential;1961-1970;0018300020;Building 0018300020;1.0;1.0;IdealLoad;IdealLoad;280600000183;;Default;Default;ISTAT;Default;Default;True;3396.0824218750004;949.953125;12;1181.0095647744865;372.42861098090907;78.7874275610087;-29.347658359461917;0.0;491790.7328125;0.0;0.0;36122226.607925415;0.0;0.0;444198.08125;0.0;0.0;29973614.76747354;0.0;0.0;491790.7328125;0.0;0.0;23032296.826018766;0.0;0.0;475926.515625;0.0;0.0;7538109.937769319;0.0;0.0;491790.7328125;0.0;0.0;1667617.8016350644;0.0;0.0;475926.515625;0.0;0.0;1613823.6790016752;-4371126.987584355;0.0;491790.7328125;0.0;0.0;1667617.8016350644;-7024394.161158883;0.0;491790.7328125;0.0;0.0;1667617.8016350644;-5106482.210537598;0.0;475926.515625;0.0;0.0;1613823.6790016752;-3038027.7498650104;0.0;491790.7328125;0.0;0.0;9094669.304192886;0.0;0.0;475926.515625;0.0;0.0;22662996.583377015;0.0;0.0;491790.7328125;0.0;0.0;33392954.432004802;0.0;0.0;5790439.273437499;0.0;0.0;170047369.2216703;-19540031.109145846
